"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
CFOSat (China-France Oceanography Satellite),China,China/France,China National Space Administration (CNSA)/National Centre for Space Studies (CNES),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,509,523,1.02E-03,97.5,95,700,,,10/28/2018,3,China Academy of Space Technology (CAST)/National Centre for Space Studies (CNES),China/France,Jiuquan Satellite Launch Center,Long March 2C,2018-083A,43662,Joint mission of the Chinese (CNSA) and French (CNES) space agencies with goal of monitoring ocean surface winds and waves and providing information on related ocean and atmospheric science and applications.,JMSatcat/11_18
Chandra X-Ray Observatory (CXO),USA,USA,National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.00,"9,999","138,825",7.97E-01,28.5,3808.92,"4,742",,"2,500",7/23/1999,5,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,X-ray astronomy.,JMSatcat304
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),China,China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation ,Multispectral Imaging,LEO,Sun-Synchronous,0.00,690,720,2.12E-03,98.1,98.87,50,,,12/21/2016,,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,2016-081B,41899,Multispectral imaging.,JMSatcat
CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer),NR,USA,University of Florida,Civil,Technology Development,,LEO,Polar,0.00,491,511,1.46E-03,85.03,94.6,4,,,12/16/2018,,University of Florida,USA,Rocket Lab Launch Complex 1,Electron,2018-104G,43855,Equipped with atomic clocks to be synchronized with a ground clock via laser pulses.,JMSatcat/3_19
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,China,Chinese Academy of Sciences,Government,Communications,,LEO,Sun-Synchronous,0.00,729,748,1.34E-03,98.5,99.6,100,,,10/21/2003,,Chinese Academy of Sciences,China,Taiyuan Launch Center,Long March 3B,2003-049B,28058,Prototype of advanced telecommunications satellite for LEO.,www.satellitedebris.net 12/12
Chuangxin 1-2 (Innovation 1-2),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0.00,785,804,1.33E-03,98.5,98.5,101,,,11/5/2008,,Chinese Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434,Collect and relay hydrological and meteorological data and data for disaster relief.,www.satellitedebris.net 12/12
Chuangxin 1-3 (Innovation 1-3),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0.00,784,804,1.40E-03,98.5,100.7,100,,,11/20/2011,,Chinese Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930,Collect and relay hydrological and meteorological data and data for disaster relief.,www.satellitedebris.net 12/12
Chuangxin 1-4 (Innovation 1-4),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0.00,778,809,2.16E-03,98.46,100.74,100,,,9/4/2014,,Chinese Academy of Sciences,China ,Jiuquan Satellite Launch Center,Long March 2D,2014-051B,40137,Collect and relay hydrological and meteorological data and data for disaster relief.,ZARYA
Chuangxin-3,China,China,Chinese Academy of Sciences,Government,Technology Development,,LEO,Sun-Synchronous,0.00,665,672,4.97E-04,98.03,96.43,200,,,7/19/2013,,Chinese Academy of Sciences,China,Taiyuan Launch Center,Long March 2C,2013-037B,39209,"Equipped with a system for testing a manipulator arm, maybe a proof of concept for use on China's upcoming space station.",WT
ChubuSat 1 (Kinshachi-1),NR,Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,506,538,2.32E-03,97.48,95.07,50,,,11/6/2014,,Nagoya University and Daido University,Japan,Dombarovsky Air Base,Dnepr,2014-070C,40300,"Technology demonstration, Earth imager, sensors to detect space debris and an amateur radio communications system.",ZARYA
ChubuSat 2 (Kinshachi-2),NR,Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,,0.00,560,579,1.37E-03,31,96.05,50,,,2/17/2016,,Nagoya University and Daido University,Japan,Tanegashima Space Center,H2A,2016-012B,41338,,Space50
ChubuSat 3 (Kinshachi-3),Japan,Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,,0.00,558,579,1.51E-03,31,96,50,,,2/17/2016,,Nagoya University and Daido University,Japan,Tanegashima Space Center,H2A,2016-012C,41339,,Space50
Cicero-1,NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,586,602,1.15E-03,97.6,96.6,10,,,7/14/2017,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042U,42843,"Provide an array of 24 microsatellites in LEO, designed to perform Global Navigation Satellite System (GNSS) radio occultation measurements.",JMSatcat/10_17
Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10),NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Polar,0.00,499,517,1.31E-03,85,94.8,10,,,11/10/2018,,Tyvak Nanosatellite Systems,USA,Rocket Lab Launch Complex 1,Electron,2018-088A,43690,,JM/11_18
Cicero-2,NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,586,602,1.15E-03,97.6,96.6,10,,,7/14/2017,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042Z,42848,"Provide an array of 24 microsatellites in LEO, designed to perform Global Navigation Satellite System (GNSS) radio occultation measurements.",JMSatcat/10_17
Cicero-3,NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,586,602,1.15E-03,97.6,96.6,10,,,7/14/2017,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AA,42849,"Provide an array of 24 microsatellites in LEO, designed to perform Global Navigation Satellite System (GNSS) radio occultation measurements.",JMSatcat/10_17
Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6),NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,496,515,1.38E-03,97.45,94.7,10,,8,6/23/2017,,Tyvak Nanosatellite Systems,USA,Satish Dhawan Space Centre,PSLV,2017-036AE,42793,Demonstrate radio occultation observations for a commercial customer,JMSatcat/10_17
Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7),NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,493,504,8.01E-04,97.5,94.5,10,,,1/11/2018,,Tyvak Nanosatellite Systems,USA,Satish Dhawan Space Centre,PSLV,2018-004AJ,43143,,JMSatcat/5_18
Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8),NR,USA,GeoOptics Inc.,Commercial,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,485,500,1.09E-03,97.5,94.5,10,,,11/29/2018,,Tyvak Nanosatellite Systems,USA,Satish Dhawan Space Centre,PSLV,2018-096U,43737,,JM/11_18
Ciel-2,Canada,Canada,Ciel Satellite Group,Commercial,Communications,,GEO,,-129.00,"35,782","35,788",7.12E-05,0.05,1436.05,"5,585",,,12/10/2008,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,Digital television; 32 Ku-band transponders.,JM/12_08
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,USA,University of California-Berkeley/Imperial College-London,Civil,Space Science,,LEO,Non-Polar Inclined,0.00,484,791,2.19E-02,64.6,97.4,3,,,9/13/2012,,"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London",USA,Vandenberg AFB,Atlas 5,2012-048G,38764,Study of space weather effects in near-Earth space.,ZARYA
CLIO (USA 257),USA,USA,Unknown US agency,Military,Communications,,GEO,,106.00,"35,736","35,854",1.40E-03,0.04,1436.5,,,,9/16/2014,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2014-055A,40208,Possibly signals intelligence satellite.,JM/12_15
Cloudsat,USA,USA,National Aeronautics and Space Administration (NASA)/Colorado State University,Government/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.00,702,703,7.07E-05,98.2,98.8,848,,570,4/28/2006,2,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,"Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.",www.satellitedebris.net 12/12
Compass-2 (QB50-DE04),Belgium,Germany,FH Aachen,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,496,513,1.24E-03,97.45,94.6,5,,,6/23/2017,,FH Aachen,Germany,Satish Dhawan Space Centre,PSLV,2017-036N,42777,Dragsail satellite - technology development.,JMSatcat/10_17
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Communications,Optical Imaging/Meteorology,GEO,,128.00,"35,783","35,791",9.49E-05,0.01,1436.1,"2,460",,,6/26/2010,,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744,"Multi-mission satellite with three payloads: one for meteorology, one for ocean observation and one for communications.",SC - ASCR 
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,63.00,"35,773","35,799",3.08E-04,0.05,1436.1,"2,440",,"3,500",10/1/2009,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.,JM/12_09
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,13.20,"35,780","35,794",1.66E-04,0.08,1436.11,"2,440",,"3,500",5/21/2010,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2010-021B,36582,"SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency).",SC - ASCR
Condor E2 ,NR,South Africa,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Polar,0.00,499,501,1.46E-04,74.75,94.62,,,,12/19/2014,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353,"Radar earth observation satellite built for, reportedly, the military of South Africa under Project Flute.",ZARYA
Coriolis (Windsat),USA,USA,US Air Force/ US Navy/NASA,Military,Earth Observation,,LEO,Sun-Synchronous,0.00,820,841,1.46E-03,98.8,101.5,817,395,"1,174",1/6/2003,3,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,Monitor ocean winds and image Solar Mass Ejections (SME).,www.satellitedebris.net 12/12
"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,709,721,8.47E-04,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036L,44349,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,710,724,9.88E-04,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036N,44351,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,708,724,1.13E-03,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036E,44343,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,710,724,9.88E-04,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036M,44350,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,709,724,1.06E-03,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036V,44358,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",NR (11/19),Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.00,708,724,1.13E-03,24,99,280,,,6/25/2019,5,Surrey Satellite Technology Ltd,UK,Cape Canaveral,Falcon Heavy,2019-036Q,44353,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research. ",JMSatcat/11_19
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0.00,764,836,5.02E-03,72,100.9,70,,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011A,29047,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,www.satellitedebris.net 12/12
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0.00,769,831,4.32E-03,72,100.9,70,,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011B,29048,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,www.satellitedebris.net 12/12
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0.00,669,746,5.44E-03,72,98.9,70,,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011D,29050,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,www.satellitedebris.net 12/12
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0.00,751,849,6.83E-03,72,100.9,70,,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011E,29051,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,www.satellitedebris.net 12/12
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0.00,772,828,3.91E-03,72,100.9,70,,46,4/15/2006,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011F,29052,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,www.satellitedebris.net 12/12
Cosmos 2504,Russia,Russia,Ministry of Defense,Military,Technology Development,,LEO,Polar,0.00,"1,171","1,504",2.16E-02,82.4,112.41,,,,3/31/2015,,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555,Unknown purpose; displays high maneuverability. ,JM/8_15
Cosmos 2519 (Napryazhenie No. 1?),Russia,Russia,Ministry of Defense,Military,Space Observation,,LEO,Sun-Synchronous,0.00,653,668,1.07E-03,98,97.9,,,,6/23/2017,,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037A,42798,"Designed to make extremely accurate measurements of Earth’s shape and gravitational field. Two months after launch released a small ""inspector satellite."" Made clear it would only inspect its host satellite.",JMSatcat/10_17
